Number of Spheres: 1964
Domain Length (x,y,z):  1, 1, 1
Media porosity: 0.369
log(r) Normal with mean -3.06869, variance 0
Mean coordination No. 12.8267
0.20766 0.399747 0.624498 0.0464818
0.654101 0.998108 0.00702144 0.0464818
0.422561 0.0643287 0.253568 0.0464818
0.0334624 0.789859 0.211357 0.0464818
0.467175 0.549867 0.535318 0.0464818
0.705609 0.634918 0.148186 0.0464818
0.49569 0.270462 0.431946 0.0464818
0.866606 0.302047 0.94154 0.0464818
0.752438 0.0761 0.823642 0.0464818
0.66373 0.0816546 0.303849 0.0464818
0.535021 0.656943 0.523845 0.0464818
0.24683 0.606841 0.59283 0.0464818
0.876926 0.309055 0.688211 0.0464818
0.774503 0.174355 0.467465 0.0464818
0.805934 0.140073 0.241757 0.0464818
0.0923953 0.0534537 0.316222 0.0464818
0.491861 0.201567 0.164082 0.0464818
0.191636 0.0804905 0.896402 0.0464818
0.569839 0.504827 0.805228 0.0464818
0.188944 0.16256 0.852818 0.0464818
0.912678 0.852744 0.0877881 0.0464818
0.537896 0.166324 0.825956 0.0464818
0.92158 0.628406 0.978914 0.0464818
0.0106319 0.529318 0.319174 0.0464818
0.715989 0.455619 0.696295 0.0464818
0.0482749 0.631259 0.699531 0.0464818
0.928744 0.412587 0.542448 0.0464818
0.875349 0.973227 0.46425 0.0464818
0.208876 0.800886 0.456216 0.0464818
0.139282 0.70925 0.575941 0.0464818
0.103188 0.423945 0.878279 0.0464818
0.149049 0.150282 0.646025 0.0464818
0.960644 0.172259 0.214877 0.0464818
0.972052 0.796509 0.714643 0.0464818
0.387039 0.794279 0.585955 0.0464818
0.543618 0.453172 0.173677 0.0464818
0.238628 0.547383 0.744948 0.0464818
0.88449 0.581207 0.735406 0.0464818
0.380875 0.411393 0.860332 0.0464818
0.148316 0.315927 0.491937 0.0464818
0.69745 0.0817174 0.981539 0.0464818
0.907774 0.0626452 0.0501778 0.0464818
0.112703 0.986637 0.190812 0.0464818
0.254313 0.481892 0.358015 0.0464818
0.0543825 0.828916 0.0114742 0.0464818
0.723314 0.0509923 0.632422 0.0464818
0.84729 0.0771517 0.296281 0.0464818
0.966329 0.486913 0.501153 0.0464818
0.332613 0.570181 0.615793 0.0464818
0.957414 0.91085 0.250472 0.0464818
0.138417 0.613655 0.713911 0.0464818
0.671021 0.159688 0.0337321 0.0464818
0.0907865 0.562967 0.644588 0.0464818
